 symptom_or_condition,mapped_specialist,emergency_level,keywords
diabetes symptoms,Endocrinologist,Medium,"condition,symptoms,diabetes,pain,problem"
cardiac arrest,Cardiologist,Critical,"cardiac,arrest,health,issue,condition"
fracture,Orthopedic,High,"symptom,issue,fracture,problem"
chest pain,Cardiologist,High,"symptom,condition,chest,issue,pain"
skin infection,Dermatologist,Low,"skin,issue,condition,problem,infection"
thyroid issue,Endocrinologist,Medium,"condition,health,thyroid,issue,pain"
thyroid issue,Endocrinologist,Medium,"health,issue,problem,thyroid"
tooth pain,Dentist,Low,"symptom,condition,tooth,issue,pain"
fever,General Physician,Low,"health,symptom,pain,fever"
depression,Psychiatrist,Medium,"problem,condition,depression,pain"
depression,Psychiatrist,Medium,"health,issue,condition,depression"
stroke symptoms,Neurologist,Critical,"health,stroke,symptoms,condition,problem"
cardiac arrest,Cardiologist,Critical,"symptom,cardiac,arrest,condition,problem"
fracture,Orthopedic,High,"health,symptom,fracture,problem"
skin infection,Dermatologist,Low,"symptom,health,skin,condition,infection"
cardiac arrest,Cardiologist,Critical,"cardiac,arrest,health,issue,condition"
depression,Psychiatrist,Medium,"problem,condition,depression,pain"
pregnancy complications,Gynecologist,High,"symptom,complications,pregnancy,issue,pain"
high blood pressure,Cardiologist,Medium,"blood,high,pressure,issue,pain,problem"
migraine,Neurologist,Medium,"health,pain,problem,migraine"
tooth pain,Dentist,Low,"symptom,tooth,issue,pain,problem"
breathing difficulty,Pulmonologist,Critical,"health,breathing,condition,problem,difficulty"
kidney pain,Nephrologist,High,"symptom,kidney,issue,pain"
breathing difficulty,Pulmonologist,Critical,"pain,breathing,condition,problem,difficulty"
asthma attack,Pulmonologist,High,"symptom,attack,asthma,pain,problem"
skin allergy,Dermatologist,Medium,"symptom,condition,skin,allergy,pain"
tooth pain,Dentist,Low,"health,pain,tooth,condition"
tooth pain,Dentist,Low,"condition,health,tooth,issue,pain"
joint pain,Orthopedic,Medium,"joint,health,issue,pain,problem"
kidney pain,Nephrologist,High,"kidney,symptom,condition,pain,problem"
fever,General Physician,Low,"health,issue,condition,fever"
stroke symptoms,Neurologist,Critical,"symptom,health,stroke,symptoms,problem"
ear pain,ENT Specialist,Low,"health,symptom,pain,ear"
skin allergy,Dermatologist,Medium,"skin,allergy,issue,pain,problem"
migraine,Neurologist,Medium,"symptom,condition,pain,migraine"
breathing difficulty,Pulmonologist,Critical,"health,breathing,issue,pain,difficulty"
stroke symptoms,Neurologist,Critical,"pain,stroke,symptoms,issue,condition"
pregnancy complications,Gynecologist,High,"health,complications,pregnancy,condition,problem"
skin infection,Dermatologist,Low,"health,skin,pain,problem,infection"
joint pain,Orthopedic,Medium,"issue,pain,joint,condition"
